MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
multifasta1.aln	multifasta2.aln	1e-05	30	0.631603774247


Distance Matrix QUERY1

gi|20138127|sp|Q95M30.3|HCK_MA	0
gi|403399475|sp|Q6EWH2.2|FYNA_	0.37673830594184576	0
gi|81863151|sp|Q62662.3|FRK_RA	0.46174496644295304	0.4620418848167539	0
gi|62512130|sp|P00522.3|ABL_DR	0.6473029045643153	0.5815217391304348	0.6397260273972603	0
gi|2498425|sp|Q60631.1|GRB2_MO	0.6876513317191284	0.6553133514986376	0.5931506849315069	0.6045197740112994	0
sp|P62993|GRB2_HUMAN	0.6884848484848485	0.6553133514986376	0.5931506849315069	0.6045197740112994	0.003386960203217604	0
gi|729629|sp|Q07883.1|GRB2_CHI	0.7055961070559611	0.6634746922024624	0.6038514442916094	0.6269503546099291	0.03810330228619818	0.03474576271186436	0
gi|3913785|sp|Q13588.1|GRAP_HU	0.7045177045177045	0.6415868673050615	0.6111888111888112	0.5885714285714285	0.3713550600343053	0.37167381974248925	0.38115816767502164	0
	gi|20138127|sp|Q95M30.3|HCK_MA	gi|403399475|sp|Q6EWH2.2|FYNA_	gi|81863151|sp|Q62662.3|FRK_RA	gi|62512130|sp|P00522.3|ABL_DR	gi|2498425|sp|Q60631.1|GRB2_MO	sp|P62993|GRB2_HUMAN	gi|729629|sp|Q07883.1|GRB2_CHI	gi|3913785|sp|Q13588.1|GRAP_HU



Distance Matrix QUERY2

gi|6094322|sp|Q07889.1|SOS1_HU	0
sp|Q07889|SOS1_HUMAN	0.0	0
gi|6175037|sp|Q62245.2|SOS1_MO	0.018949804715752916	0.018949804715752916	0
gi|76800652|sp|P26675.2|SOS_DR	0.4647514647514648	0.4647514647514648	0.4694764694764695	0
gi|162416039|sp|A2CEA7.1|RGRF2	0.767536231884058	0.767536231884058	0.761711972238288	0.7553623188405797	0
gi|121515|sp|P28818.1|RGRF1_RA	0.7838910947249007	0.7838910947249007	0.7821165817770233	0.762119503945885	0.23820617355853235	0
gi|82197787|sp|Q5ZJK0.1|RGPS1_	0.7436908517350158	0.7436908517350158	0.7399842890809112	0.7827450980392157	0.715311004784689	0.6957566052842274	0
gi|75076849|sp|Q4R7W3.1|RGPS2_	0.7413249211356467	0.7413249211356467	0.7376276512175962	0.7796078431372548	0.7169059011164274	0.6933546837469976	0.017884914463452528	0
	gi|6094322|sp|Q07889.1|SOS1_HU	sp|Q07889|SOS1_HUMAN	gi|6175037|sp|Q62245.2|SOS1_MO	gi|76800652|sp|P26675.2|SOS_DR	gi|162416039|sp|A2CEA7.1|RGRF2	gi|121515|sp|P28818.1|RGRF1_RA	gi|82197787|sp|Q5ZJK0.1|RGPS1_	gi|75076849|sp|Q4R7W3.1|RGPS2_
