MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P49815|TSC2_HUMAN	sp|P08069|IGF1R_HUMAN	1e-05	30	0.997652470964


Distance Matrix QUERY1

gi|269849475|sp|P49815.2|TSC2_	0
sp|P49815|TSC2_HUMAN	0.0	0
gi|1717800|sp|P49816.1|TSC2_RA	0.0855821954628535	0.0855821954628535	0
gi|9297076|sp|Q61037.1|TSC2_MO	0.10725043029259895	0.10725043029259895	0.04974804331510663	0
gi|82081855|sp|Q5ZJY3.1|GARL3_	0.7272727272727273	0.7272727272727273	0.7264957264957265	0.7264957264957265	0
gi|74868143|sp|Q9VB98.2|Y5521_	0.8819444444444444	0.8819444444444444	0.8669751301330249	0.8655413271245634	0.7918552036199095	0
	gi|269849475|sp|P49815.2|TSC2_	sp|P49815|TSC2_HUMAN	gi|1717800|sp|P49816.1|TSC2_RA	gi|9297076|sp|Q61037.1|TSC2_MO	gi|82081855|sp|Q5ZJY3.1|GARL3_	gi|74868143|sp|Q9VB98.2|Y5521_



Distance Matrix QUERY2

gi|124240|sp|P08069.1|IGF1R_HU	0
sp|P08069|IGF1R_HUMAN	0.0	0
gi|2827762|sp|P24062.2|IGF1R_R	0.03420550558735347	0.03420550558735347	0
gi|12644455|sp|Q60751.3|IGF1R_	0.03549571603427171	0.03549571603427171	0.0029871011541072745	0
gi|57013873|sp|P08941.3|ROS1_C	0.5986261040235525	0.5986261040235525	0.6021558059774621	0.5997060264576188	0
gi|62297106|sp|P09208.3|INSR_D	0.7002220577350111	0.7002220577350111	0.6969875959834613	0.6988200589970501	0.694134755210858	0
	gi|124240|sp|P08069.1|IGF1R_HU	sp|P08069|IGF1R_HUMAN	gi|2827762|sp|P24062.2|IGF1R_R	gi|12644455|sp|Q60751.3|IGF1R_	gi|57013873|sp|P08941.3|ROS1_C	gi|62297106|sp|P09208.3|INSR_D
