MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
multifasta1.aln	multifasta2.aln	1e-05	30	0.76423466701


Distance Matrix QUERY1
gi|269849759|sp|P04637.4|P53_H	0
gi|172047304|sp|P02340.3|P53_M	0.0	0
gi|2842741|sp|Q95330.1|P53_RAB	0.06666666666666665	0.06666666666666665	0
gi|129372|sp|P10361.1|P53_RAT	0.08974358974358976	0.08974358974358976	0.06666666666666665	0
	gi|269849759|sp|P04637.4|P53_H	gi|172047304|sp|P02340.3|P53_M	gi|2842741|sp|Q95330.1|P53_RAB	gi|129372|sp|P10361.1|P53_RAT


Distance Matrix QUERY2
gi|12585288|sp|O96013.1|PAK4_H	0
gi|2499647|sp|Q29502.1|PAK2_RA	0.0	0
gi|47117219|sp|Q8BTW9.1|PAK4_M	0.015463917525773141	0.015463917525773141	0
gi|353678056|sp|D4A280.1|PAK7_	0.14516129032258063	0.14423076923076927	0.14774193548387093	0
	gi|12585288|sp|O96013.1|PAK4_H	gi|2499647|sp|Q29502.1|PAK2_RA	gi|47117219|sp|Q8BTW9.1|PAK4_M	gi|353678056|sp|D4A280.1|PAK7_
